student_id,name,faculty,year,gpa,skills,languages,activities,key_course_grades,target_career
6610400010,Student_0010,Economics,1,2.31,"[{""name"": ""Python"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}]",,"[{""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""C""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""B""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""B+""}, {""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""C""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""B""}]",Software Engineer
6610400011,Student_0011,Economics,1,3.26,"[{""name"": ""Tokenomics Modeling"", ""level"": ""Intermediate""}, {""name"": ""Smart contracts"", ""level"": ""Intermediate""}, {""name"": ""Web3 ecosystem"", ""level"": ""Beginner""}, {""name"": ""Blockchain technology"", ""level"": ""Intermediate""}, {""name"": ""Time Series Forecasting"", ""level"": ""Intermediate""}, {""name"": ""Nansen"", ""level"": ""Beginner""}, {""name"": ""Python (Pandas, NumPy, Statsmodels)"", ""level"": ""Intermediate""}, {""name"": ""DEX knowledge"", ""level"": ""Beginner""}, {""name"": ""Fundamental analysis"", ""level"": ""Intermediate""}, {""name"": ""ESG Reporting Frameworks (GRI, TCFD, ISSB)"", ""level"": ""Beginner""}, {""name"": ""Econometrics"", ""level"": ""Intermediate""}, {""name"": ""Experimental Economics"", ""level"": ""Intermediate""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}, {""name"": ""German"", ""level"": ""Beginner""}]",[Crypto Analyst Intern] at [Bitkub Exchange 2024] | [FinTech PM Intern] at [Rabbit Finance 2024],"[{""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""B+""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""A""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""B""}, {""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""A""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""C""}]",Crypto / Digital Asset Analyst
6610400012,Student_0012,Economics,1,3.57,"[{""name"": ""Reuters Eikon"", ""level"": ""Intermediate""}, {""name"": ""Derivatives Pricing (Black-Scholes)"", ""level"": ""Beginner""}, {""name"": ""CFP"", ""level"": ""Intermediate""}, {""name"": ""Investment Analysis"", ""level"": ""Intermediate""}, {""name"": ""Market analysis"", ""level"": ""Intermediate""}, {""name"": ""Portfolio rebalancing"", ""level"": ""Intermediate""}, {""name"": ""CFA"", ""level"": ""Beginner""}, {""name"": ""Financial Modeling"", ""level"": ""Intermediate""}, {""name"": ""Portfolio construction"", ""level"": ""Intermediate""}, {""name"": ""Open Banking / API Finance"", ""level"": ""Intermediate""}, {""name"": ""Power BI"", ""level"": ""Intermediate""}, {""name"": ""Data Visualization"", ""level"": ""Intermediate""}, {""name"": ""Portfolio Management"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}]",[Economic Analyst] at [TDRI Policy Research 2025] | [Member] at [KU Investment Club 2025],"[{""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""B+""}, {""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""D+""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""B""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""A""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""B""}]",Portfolio Manager
6610400013,Student_0013,Computer Engineering,1,3.03,"[{""name"": ""Python"", ""level"": ""Intermediate""}, {""name"": ""SQL"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]",[Member] at [Coding Club],"[{""course_id"": ""01420113"", ""course_name"": ""Physics Laboratory I"", ""grade"": ""C""}, {""course_id"": ""01403117"", ""course_name"": ""Fundamentals of General Chemistry"", ""grade"": ""C""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""B+""}, {""course_id"": ""01417167"", ""course_name"": ""Engineering Mathematics I"", ""grade"": ""B+""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""C""}, {""course_id"": ""01204216"", ""course_name"": ""Probability and Statistics for Computer Engineers"", ""grade"": ""A""}, {""course_id"": ""01417168"", ""course_name"": ""Engineering Mathematics II"", ""grade"": ""B""}, {""course_id"": ""01403114"", ""course_name"": ""Lab: Fundamentals of General Chemistry"", ""grade"": ""A""}]",Data Analyst
6610400014,Student_0014,Economics,1,2.94,"[{""name"": ""Pricing strategy"", ""level"": ""Intermediate""}, {""name"": ""Regression Analysis"", ""level"": ""Intermediate""}, {""name"": ""Policy Brief Writing"", ""level"": ""Beginner""}, {""name"": ""Causal Inference (DiD, RDD, IV)"", ""level"": ""Intermediate""}, {""name"": ""Econometrics"", ""level"": ""Intermediate""}, {""name"": ""Macro Modeling (DSGE, CGE)"", ""level"": ""Intermediate""}, {""name"": ""Survey Design & Analysis"", ""level"": ""Intermediate""}, {""name"": ""Adaptability"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}, {""name"": ""French"", ""level"": ""Beginner""}]",[Research Assistant] at [Bank of Thailand (BOT) 2025] | [Behavioral Research RA] at [KU Experimental Economics Lab 2025],"[{""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""B+""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""C""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""A""}, {""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""D+""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""B""}]",Economist
6610400015,Student_0015,Economics,1,2.81,"[{""name"": ""Java"", ""level"": ""Intermediate""}, {""name"": ""HTML/CSS"", ""level"": ""Intermediate""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]",[Coordinator] at [KU Tech Event],"[{""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""C""}, {""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""B+""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""C+""}, {""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""B+""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""C""}]",Software Engineer
6610400016,Student_0016,Economics,1,3.12,"[{""name"": ""Business Intelligence (BI) tools"", ""level"": ""Intermediate""}, {""name"": ""Bloomberg Terminal"", ""level"": ""Intermediate""}, {""name"": ""Working capital management"", ""level"": ""Intermediate""}, {""name"": ""Excel (Advanced: Solver, VBA, Power Query)"", ""level"": ""Intermediate""}, {""name"": ""CMA"", ""level"": ""Beginner""}, {""name"": ""ERP systems (SAP, Oracle, NetSuite)"", ""level"": ""Intermediate""}, {""name"": ""Valuation (DCF, Comps)"", ""level"": ""Intermediate""}, {""name"": ""Corporate Finance"", ""level"": ""Intermediate""}, {""name"": ""Financial modeling"", ""level"": ""Intermediate""}, {""name"": ""Regression Analysis"", ""level"": ""Beginner""}, {""name"": ""Regulatory Frameworks (Basel III, MiFID II)"", ""level"": ""Beginner""}, {""name"": ""Academic Paper Writing"", ""level"": ""Beginner""}, {""name"": ""Critical Thinking"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Beginner""}]",[Equity Analyst Intern] at [Bualuang Securities 2024] | [M&A Intern] at [Phatra Capital 2024],"[{""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""A""}, {""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""D+""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""B""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""A""}, {""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""B+""}]",Financial Analyst
6610400017,Student_0017,Economics,1,3.16,"[{""name"": ""Data Analysis"", ""level"": ""Beginner""}, {""name"": ""Tableau"", ""level"": ""Intermediate""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]",[Member] at [Data Science Club],"[{""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""C+""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""C""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""C""}, {""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""B+""}, {""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""B""}]",Data Analyst
6610400018,Student_0018,Computer Engineering,1,2.81,"[{""name"": ""C++"", ""level"": ""Intermediate""}, {""name"": ""Git"", ""level"": ""Intermediate""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]",[Volunteer] at [Tech Camp],"[{""course_id"": ""01417167"", ""course_name"": ""Engineering Mathematics I"", ""grade"": ""B+""}, {""course_id"": ""01420113"", ""course_name"": ""Physics Laboratory I"", ""grade"": ""B+""}, {""course_id"": ""01403114"", ""course_name"": ""Lab: Fundamentals of General Chemistry"", ""grade"": ""C+""}, {""course_id"": ""01403117"", ""course_name"": ""Fundamentals of General Chemistry"", ""grade"": ""B+""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""D+""}, {""course_id"": ""01417168"", ""course_name"": ""Engineering Mathematics II"", ""grade"": ""B+""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""A""}, {""course_id"": ""01204216"", ""course_name"": ""Probability and Statistics for Computer Engineers"", ""grade"": ""C""}]",Software Engineer
6610400019,Student_0019,Computer Engineering,1,2.9,"[{""name"": ""JavaScript"", ""level"": ""Intermediate""}, {""name"": ""React"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Intermediate""}]",[Member] at [Web Dev Society],"[{""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""C""}, {""course_id"": ""01417167"", ""course_name"": ""Engineering Mathematics I"", ""grade"": ""B""}, {""course_id"": ""01420113"", ""course_name"": ""Physics Laboratory I"", ""grade"": ""A""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""A""}, {""course_id"": ""01204216"", ""course_name"": ""Probability and Statistics for Computer Engineers"", ""grade"": ""B""}, {""course_id"": ""01403114"", ""course_name"": ""Lab: Fundamentals of General Chemistry"", ""grade"": ""C+""}]",Frontend Engineer
6610400020,Student_0020,Economics,1,3.87,"[{""name"": ""Python"", ""level"": ""Native""}, {""name"": ""Machine Learning"", ""level"": ""Advanced""}, {""name"": ""SQL"", ""level"": ""Advanced""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}]",[President] at [Computer Engineering Club] | [Lead Backend] at [Hackathon] | [Committee] at [KU Tech Event] | [Speaker] at [AI Summit] | [Manager] at [Startup Camp],"[{""course_id"": ""01101171"", ""course_name"": ""Mathematical Economics I"", ""grade"": ""C""}, {""course_id"": ""01101271"", ""course_name"": ""Mathematical Economics II"", ""grade"": ""C""}, {""course_id"": ""01101231"", ""course_name"": ""Labour and Industrial Economics"", ""grade"": ""B""}, {""course_id"": ""01101181"", ""course_name"": ""Microeconomics I"", ""grade"": ""D+""}, {""course_id"": ""01101182"", ""course_name"": ""Macroeconomics I"", ""grade"": ""B+""}]",Machine Learning Engineer
6610400021,Student_0021,Computer Engineering,1,3.07,"[{""name"": ""Terraform"", ""level"": ""Intermediate""}, {""name"": ""Problem Solving"", ""level"": ""Beginner""}, {""name"": ""Network Security"", ""level"": ""Beginner""}, {""name"": ""TCP/IP"", ""level"": ""Intermediate""}, {""name"": ""DAST"", ""level"": ""Intermediate""}, {""name"": ""AWS certification"", ""level"": ""Beginner""}, {""name"": ""GCP (BigQuery, GKE)"", ""level"": ""Intermediate""}, {""name"": ""IIS"", ""level"": ""Intermediate""}, {""name"": ""Dependency scanning"", ""level"": ""Intermediate""}, {""name"": ""Secure Code Review"", ""level"": ""Intermediate""}, {""name"": ""Assembly Language"", ""level"": ""Intermediate""}, {""name"": ""Microcontroller Programming"", ""level"": ""Beginner""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Advanced""}]",[ML Engineer Intern] at [Grab Thailand 2025] | [Frontend Developer] at [KBTG Digital Banking 2025],"[{""course_id"": ""01403117"", ""course_name"": ""Fundamentals of General Chemistry"", ""grade"": ""A""}, {""course_id"": ""01204216"", ""course_name"": ""Probability and Statistics for Computer Engineers"", ""grade"": ""B+""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""B+""}, {""course_id"": ""01420113"", ""course_name"": ""Physics Laboratory I"", ""grade"": ""C+""}, {""course_id"": ""01417168"", ""course_name"": ""Engineering Mathematics II"", ""grade"": ""C""}, {""course_id"": ""01403114"", ""course_name"": ""Lab: Fundamentals of General Chemistry"", ""grade"": ""B""}]",DevOps / SRE Engineer
6610400022,Student_0022,Computer Engineering,1,3.98,"[{""name"": ""React"", ""level"": ""Native""}, {""name"": ""Node.js"", ""level"": ""Advanced""}, {""name"": ""AWS"", ""level"": ""Advanced""}]","[{""name"": ""Thai"", ""level"": ""Native""}, {""name"": ""English"", ""level"": ""Native""}]",[Host] at [Tech Meetup] | [Head of Dev] at [KU Startup] | [Lead] at [Web Society] | [Team Member] at [Datathon] | [Speaker] at [React BKK],"[{""course_id"": ""01204216"", ""course_name"": ""Probability and Statistics for Computer Engineers"", ""grade"": ""B+""}, {""course_id"": ""01417167"", ""course_name"": ""Engineering Mathematics I"", ""grade"": ""C""}, {""course_id"": ""01403117"", ""course_name"": ""Fundamentals of General Chemistry"", ""grade"": ""C""}, {""course_id"": ""01403114"", ""course_name"": ""Lab: Fundamentals of General Chemistry"", ""grade"": ""C+""}, {""course_id"": ""01204215"", ""course_name"": ""Mathematical Foundations for Computer Engineers"", ""grade"": ""B""}, {""course_id"": ""01417168"", ""course_name"": ""Engineering Mathematics II"", ""grade"": ""C+""}, {""course_id"": ""01420111"", ""course_name"": ""General Physics I"", ""grade"": ""C""}, {""course_id"": ""01420113"", ""course_name"": ""Physics Laboratory I"", ""grade"": ""B+""}]",Software Engineer
